"id","title","author","description","cover_image_url","pdf_url","rating","total_ratings","is_featured","required_tier","created_at","updated_at"
"1f6e08c4-9278-401d-81b4-54b941265a3b","Sapiens","Yuval Noah Harari","A brief history of humankind exploring how humans came to dominate the world and what the future might hold.","https://images.unsplash.com/photo-1481627834876-b7833e8f5570?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.90","201","true","premium","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"212c0ffa-4adb-4cd1-8b4d-57be5e817c81","Atomic Habits","James Clear","The revolutionary guide to building good habits and breaking bad ones, with practical strategies for lasting change.","https://images.unsplash.com/photo-1532012197267-da84d127e765?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.70","156","true","free","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"30835967-c1b9-482f-af3a-66ee0e79a904","The 7 Habits of Highly Effective People","Stephen R. Covey","Powerful lessons in personal change that have influenced millions of people seeking fulfillment and success.","https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.70","178","false","basic","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"32b95e8c-6446-4548-8c95-fe730a5230d4","The Untethered Soul","Michael A. Singer","A journey beyond the habitual thoughts and emotions to discover inner freedom and spiritual growth.","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.70","112","false","premium","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"44fb26b6-c02e-4e03-ba62-d1c5cbe4589e","The 4-Hour Workweek","Timothy Ferriss","Learn how to escape the 9-5 trap and create a lifestyle of freedom and financial independence.","https://images.unsplash.com/photo-1553729784-e91953dec042?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.50","89","true","basic","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"5e49e339-be45-417c-9845-73ea6c048eed","Mindfulness in Plain English","Bhante Henepola Gunaratana","A clear and practical guide to meditation and mindfulness practice for beginners and experienced practitioners alike.","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.60","67","false","basic","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"87a1ffa7-c7a9-4608-93fd-4e3760eab6c6","Educated","Tara Westover","A powerful memoir about education, family, and the transformative power of learning against all odds.","https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.80","143","true","premium","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"9f144c34-8ac6-4512-9117-7150b5ac2cb8","The Power of Now","Eckhart Tolle","A transformative guide to living in the present moment and finding inner peace through mindfulness and spiritual awakening.","https://images.unsplash.com/photo-1481627834876-b7833e8f5570?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.90","98","true","free","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"b0d7ad54-08ba-412f-af02-6c33d6c9efc8","Man's Search for Meaning","Viktor E. Frankl","A profound exploration of finding purpose and meaning in life, based on the author's experiences in Nazi concentration camps.","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.80","145","false","premium","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"ce998a46-f186-4600-9eeb-8f1803efe842","The Lean Startup","Eric Ries","A revolutionary approach to building and scaling startups using validated learning and continuous innovation.","https://images.unsplash.com/photo-1553729784-e91953dec042?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.40","92","false","premium","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"d0441c7f-48c6-4542-902e-3c06da9f582d","Becoming","Michelle Obama","An intimate and inspiring memoir from the former First Lady, sharing her journey of personal growth and public service.","https://images.unsplash.com/photo-1532012197267-da84d127e765?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.90","189","true","basic","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"daad5507-6f19-4c78-a681-236b1e003cbc","Think and Grow Rich","Napoleon Hill","The classic guide to wealth and success, revealing the secret to achieving your dreams through the power of thought and persistence.","https://images.unsplash.com/photo-1544947950-fa07a98d237f?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.80","125","true","free","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"e1e88d03-4c3f-49fc-9dec-50fae205bae1","Getting to Yes","Roger Fisher","The classic guide to principled negotiation and conflict resolution, essential for personal and professional success.","https://images.unsplash.com/photo-1516979187457-637abb4f9353?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.60","78","false","basic","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"e3d177cb-8195-4f79-8c9b-bf8a6effdf3c","The Body Keeps the Score","Bessel van der Kolk","A groundbreaking exploration of trauma and its effects on the body and mind, with innovative approaches to healing.","https://images.unsplash.com/photo-1559757148-5c350d0d3c56?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.80","167","false","premium","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
"f8b21d93-693e-455f-b9c8-f6cb533197a3","The Psychology of Money","Morgan Housel","Timeless lessons on wealth, greed, and happiness that reveal how our emotions and biases affect financial decisions.","https://images.unsplash.com/photo-1579621970563-ebec7560ff3e?ixlib=rb-4.0.3&auto=format&fit=crop&w=300&h=400",,"4.80","134","false","basic","""2025-08-05T22:52:08.428Z""","""2025-08-05T22:52:08.428Z"""
